2026-09-18T08:50:46.592784494Z [2026-09-18 08:50:46 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 512, #cached-token: 0, full token usage: 0.00, swa token usage: 0.01, #running-req: 1, #queue-req: 0, #pending-token: 0, cuda graph: False, input throughput (token/s): 393.12
2026-09-18T09:07:19.216254366Z [2026-09-18 09:07:19 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.00, swa token usage: 0.08, #running-req: 2, #queue-req: 15, #pending-token: 507904, cuda graph: False, input throughput (token/s): 2355.17
2026-09-18T09:07:21.147698183Z [2026-09-18 09:07:21 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.00, swa token usage: 0.08, #running-req: 2, #queue-req: 15, #pending-token: 503808, cuda graph: False, input throughput (token/s): 2120.28
2026-09-18T09:07:23.511810935Z [2026-09-18 09:07:23 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.00, swa token usage: 0.08, #running-req: 2, #queue-req: 15, #pending-token: 499712, cuda graph: False, input throughput (token/s): 1732.68
2026-09-18T09:07:25.971735246Z [2026-09-18 09:07:25 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.00, swa token usage: 0.08, #running-req: 2, #queue-req: 15, #pending-token: 495616, cuda graph: False, input throughput (token/s): 1664.56
2026-09-18T09:07:27.789331013Z [2026-09-18 09:07:27 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.00, swa token usage: 0.08, #running-req: 2, #queue-req: 14, #pending-token: 491520, cuda graph: False, input throughput (token/s): 2253.50
2026-09-18T09:07:30.081331316Z [2026-09-18 09:07:30 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.00, swa token usage: 0.09, #running-req: 3, #queue-req: 14, #pending-token: 487424, cuda graph: False, input throughput (token/s): 1787.36
2026-09-18T09:07:32.323875207Z [2026-09-18 09:07:32 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.00, swa token usage: 0.09, #running-req: 3, #queue-req: 14, #pending-token: 483328, cuda graph: False, input throughput (token/s): 1826.91
2026-09-18T09:07:34.697865166Z [2026-09-18 09:07:34 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.01, swa token usage: 0.09, #running-req: 3, #queue-req: 14, #pending-token: 479232, cuda graph: False, input throughput (token/s): 1725.47
2026-09-18T09:07:37.006803125Z [2026-09-18 09:07:37 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.01, swa token usage: 0.09, #running-req: 3, #queue-req: 14, #pending-token: 475136, cuda graph: False, input throughput (token/s): 1773.83
2026-09-18T09:07:38.949787251Z [2026-09-18 09:07:38 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.01, swa token usage: 0.09, #running-req: 3, #queue-req: 14, #pending-token: 471040, cuda graph: False, input throughput (token/s): 2108.30
2026-09-18T09:07:41.314966529Z [2026-09-18 09:07:41 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.01, swa token usage: 0.09, #running-req: 3, #queue-req: 14, #pending-token: 466944, cuda graph: False, input throughput (token/s): 1731.69
2026-09-18T09:07:43.414988853Z [2026-09-18 09:07:43 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.01, swa token usage: 0.09, #running-req: 3, #queue-req: 14, #pending-token: 462848, cuda graph: False, input throughput (token/s): 1950.13
2026-09-18T09:07:45.718720406Z [2026-09-18 09:07:45 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.01, swa token usage: 0.09, #running-req: 3, #queue-req: 13, #pending-token: 458752, cuda graph: False, input throughput (token/s): 1777.50
2026-09-18T09:07:48.015851514Z [2026-09-18 09:07:48 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.01, swa token usage: 0.09, #running-req: 4, #queue-req: 13, #pending-token: 454656, cuda graph: False, input throughput (token/s): 1783.38
2026-09-18T09:07:49.957738577Z [2026-09-18 09:07:49 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.01, swa token usage: 0.09, #running-req: 4, #queue-req: 13, #pending-token: 450560, cuda graph: False, input throughput (token/s): 2109.09
2026-09-18T09:07:52.229710505Z [2026-09-18 09:07:52 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.01, swa token usage: 0.09, #running-req: 4, #queue-req: 13, #pending-token: 446464, cuda graph: False, input throughput (token/s): 1803.60
2026-09-18T09:07:54.094927145Z [2026-09-18 09:07:54 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.01, swa token usage: 0.09, #running-req: 4, #queue-req: 13, #pending-token: 442368, cuda graph: False, input throughput (token/s): 2195.74
2026-09-18T09:07:56.092448126Z [2026-09-18 09:07:56 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.01, swa token usage: 0.09, #running-req: 4, #queue-req: 13, #pending-token: 438272, cuda graph: False, input throughput (token/s): 2050.48
2026-09-18T09:07:58.451920486Z [2026-09-18 09:07:58 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.01, swa token usage: 0.09, #running-req: 4, #queue-req: 13, #pending-token: 434176, cuda graph: False, input throughput (token/s): 1736.19
2026-09-18T09:08:01.008927781Z [2026-09-18 09:08:01 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.01, swa token usage: 0.09, #running-req: 4, #queue-req: 13, #pending-token: 430080, cuda graph: False, input throughput (token/s): 1601.19
2026-09-18T09:08:02.756158054Z [2026-09-18 09:08:02 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.01, swa token usage: 0.09, #running-req: 4, #queue-req: 12, #pending-token: 425984, cuda graph: False, input throughput (token/s): 2344.32
2026-09-18T09:08:04.489132193Z [2026-09-18 09:08:04 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.01, swa token usage: 0.10, #running-req: 5, #queue-req: 12, #pending-token: 421888, cuda graph: False, input throughput (token/s): 2364.39
2026-09-18T09:08:06.692422781Z [2026-09-18 09:08:06 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.01, swa token usage: 0.10, #running-req: 5, #queue-req: 12, #pending-token: 417792, cuda graph: False, input throughput (token/s): 1859.01
2026-09-18T09:08:09.090567730Z [2026-09-18 09:08:09 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.01, swa token usage: 0.10, #running-req: 5, #queue-req: 12, #pending-token: 413696, cuda graph: False, input throughput (token/s): 1707.86
2026-09-18T09:08:10.974954278Z [2026-09-18 09:08:10 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.01, swa token usage: 0.10, #running-req: 5, #queue-req: 12, #pending-token: 409600, cuda graph: False, input throughput (token/s): 2174.57
2026-09-18T09:08:12.902715786Z [2026-09-18 09:08:12 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.01, swa token usage: 0.10, #running-req: 5, #queue-req: 12, #pending-token: 405504, cuda graph: False, input throughput (token/s): 2124.29
2026-09-18T09:08:15.244770818Z [2026-09-18 09:08:15 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.01, swa token usage: 0.10, #running-req: 5, #queue-req: 12, #pending-token: 401408, cuda graph: False, input throughput (token/s): 1748.98
2026-09-18T09:08:17.412540785Z [2026-09-18 09:08:17 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.01, swa token usage: 0.10, #running-req: 5, #queue-req: 12, #pending-token: 397312, cuda graph: False, input throughput (token/s): 1889.10
2026-09-18T09:08:19.381247664Z [2026-09-18 09:08:19 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.01, swa token usage: 0.10, #running-req: 5, #queue-req: 11, #pending-token: 393216, cuda graph: False, input throughput (token/s): 2080.50
2026-09-18T09:08:21.160669724Z [2026-09-18 09:08:21 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.01, swa token usage: 0.10, #running-req: 6, #queue-req: 11, #pending-token: 389120, cuda graph: False, input throughput (token/s): 2302.34
2026-09-18T09:08:23.423933836Z [2026-09-18 09:08:23 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.01, swa token usage: 0.10, #running-req: 6, #queue-req: 11, #pending-token: 385024, cuda graph: False, input throughput (token/s): 1809.84
2026-09-18T09:08:25.323922260Z [2026-09-18 09:08:25 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.02, swa token usage: 0.10, #running-req: 6, #queue-req: 11, #pending-token: 380928, cuda graph: False, input throughput (token/s): 2155.66
2026-09-18T09:08:27.623841493Z [2026-09-18 09:08:27 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.02, swa token usage: 0.10, #running-req: 6, #queue-req: 11, #pending-token: 376832, cuda graph: False, input throughput (token/s): 1781.38
2026-09-18T09:08:29.421076482Z [2026-09-18 09:08:29 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.02, swa token usage: 0.10, #running-req: 6, #queue-req: 11, #pending-token: 372736, cuda graph: False, input throughput (token/s): 2278.39
2026-09-18T09:08:31.404959694Z [2026-09-18 09:08:31 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.02, swa token usage: 0.10, #running-req: 6, #queue-req: 11, #pending-token: 368640, cuda graph: False, input throughput (token/s): 2064.64
2026-09-18T09:08:33.893460437Z [2026-09-18 09:08:33 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.02, swa token usage: 0.10, #running-req: 6, #queue-req: 11, #pending-token: 364544, cuda graph: False, input throughput (token/s): 1645.71
2026-09-18T09:08:36.344407419Z [2026-09-18 09:08:36 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.02, swa token usage: 0.10, #running-req: 6, #queue-req: 10, #pending-token: 360448, cuda graph: False, input throughput (token/s): 1671.22
2026-09-18T09:08:38.693540308Z [2026-09-18 09:08:38 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.02, swa token usage: 0.11, #running-req: 7, #queue-req: 10, #pending-token: 356352, cuda graph: False, input throughput (token/s): 1743.74
2026-09-18T09:08:41.015847932Z [2026-09-18 09:08:41 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.02, swa token usage: 0.11, #running-req: 7, #queue-req: 10, #pending-token: 352256, cuda graph: False, input throughput (token/s): 1763.66
2026-09-18T09:08:42.933186367Z [2026-09-18 09:08:42 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.02, swa token usage: 0.11, #running-req: 7, #queue-req: 10, #pending-token: 348160, cuda graph: False, input throughput (token/s): 2136.77
2026-09-18T09:08:45.388023640Z [2026-09-18 09:08:45 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.02, swa token usage: 0.11, #running-req: 7, #queue-req: 10, #pending-token: 344064, cuda graph: False, input throughput (token/s): 1668.42
2026-09-18T09:08:47.848630521Z [2026-09-18 09:08:47 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.02, swa token usage: 0.11, #running-req: 7, #queue-req: 10, #pending-token: 339968, cuda graph: False, input throughput (token/s): 1664.43
2026-09-18T09:08:50.283830159Z [2026-09-18 09:08:50 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.02, swa token usage: 0.11, #running-req: 7, #queue-req: 10, #pending-token: 335872, cuda graph: False, input throughput (token/s): 1682.14
2026-09-18T09:08:52.880795465Z [2026-09-18 09:08:52 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.02, swa token usage: 0.11, #running-req: 7, #queue-req: 10, #pending-token: 331776, cuda graph: False, input throughput (token/s): 1577.17
2026-09-18T09:08:54.916711900Z [2026-09-18 09:08:54 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.02, swa token usage: 0.11, #running-req: 7, #queue-req: 9, #pending-token: 327680, cuda graph: False, input throughput (token/s): 2011.78
2026-09-18T09:08:57.284417658Z [2026-09-18 09:08:57 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.02, swa token usage: 0.11, #running-req: 8, #queue-req: 9, #pending-token: 323584, cuda graph: False, input throughput (token/s): 1729.59
2026-09-18T09:08:59.058076514Z [2026-09-18 09:08:59 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.02, swa token usage: 0.11, #running-req: 8, #queue-req: 9, #pending-token: 319488, cuda graph: False, input throughput (token/s): 2310.19
2026-09-18T09:09:01.359926948Z [2026-09-18 09:09:01 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.02, swa token usage: 0.11, #running-req: 8, #queue-req: 9, #pending-token: 315392, cuda graph: False, input throughput (token/s): 1779.54
2026-09-18T09:09:03.613816593Z [2026-09-18 09:09:03 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.02, swa token usage: 0.11, #running-req: 8, #queue-req: 9, #pending-token: 311296, cuda graph: False, input throughput (token/s): 1816.98
2026-09-18T09:09:05.586467619Z [2026-09-18 09:09:05 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.02, swa token usage: 0.11, #running-req: 8, #queue-req: 9, #pending-token: 307200, cuda graph: False, input throughput (token/s): 2077.15
2026-09-18T09:09:07.905665797Z [2026-09-18 09:09:07 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.02, swa token usage: 0.11, #running-req: 8, #queue-req: 9, #pending-token: 303104, cuda graph: False, input throughput (token/s): 1765.56
2026-09-18T09:09:10.363845142Z [2026-09-18 09:09:10 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.02, swa token usage: 0.11, #running-req: 8, #queue-req: 9, #pending-token: 299008, cuda graph: False, input throughput (token/s): 1666.40
2026-09-18T09:09:12.307448958Z [2026-09-18 09:09:12 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.02, swa token usage: 0.11, #running-req: 8, #queue-req: 8, #pending-token: 294912, cuda graph: False, input throughput (token/s): 2106.87
2026-09-18T09:09:14.305616732Z [2026-09-18 09:09:14 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.02, swa token usage: 0.12, #running-req: 9, #queue-req: 8, #pending-token: 290816, cuda graph: False, input throughput (token/s): 2050.87
2026-09-18T09:09:15.449742452Z [2026-09-18 09:09:15 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.03, swa token usage: 0.12, #running-req: 9, #queue-req: 8, #pending-token: 286720, cuda graph: False, input throughput (token/s): 3580.03
2026-09-18T09:09:17.180705832Z [2026-09-18 09:09:17 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.03, swa token usage: 0.12, #running-req: 9, #queue-req: 8, #pending-token: 282624, cuda graph: False, input throughput (token/s): 2366.05
2026-09-18T09:09:18.983859052Z [2026-09-18 09:09:18 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.03, swa token usage: 0.12, #running-req: 9, #queue-req: 8, #pending-token: 278528, cuda graph: False, input throughput (token/s): 2272.16
2026-09-18T09:09:21.402225123Z [2026-09-18 09:09:21 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.03, swa token usage: 0.12, #running-req: 9, #queue-req: 8, #pending-token: 274432, cuda graph: False, input throughput (token/s): 1693.41
2026-09-18T09:09:23.606062381Z [2026-09-18 09:09:23 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.03, swa token usage: 0.12, #running-req: 9, #queue-req: 8, #pending-token: 270336, cuda graph: False, input throughput (token/s): 1858.72
2026-09-18T09:09:25.526354387Z [2026-09-18 09:09:25 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.03, swa token usage: 0.12, #running-req: 9, #queue-req: 8, #pending-token: 266240, cuda graph: False, input throughput (token/s): 2132.45
2026-09-18T09:09:27.413470935Z [2026-09-18 09:09:27 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.03, swa token usage: 0.12, #running-req: 9, #queue-req: 7, #pending-token: 262144, cuda graph: False, input throughput (token/s): 2170.57
2026-09-18T09:09:29.156228165Z [2026-09-18 09:09:29 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.03, swa token usage: 0.12, #running-req: 10, #queue-req: 7, #pending-token: 258048, cuda graph: False, input throughput (token/s): 2350.39
2026-09-18T09:09:31.344999942Z [2026-09-18 09:09:31 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.03, swa token usage: 0.12, #running-req: 10, #queue-req: 7, #pending-token: 253952, cuda graph: False, input throughput (token/s): 1871.63
2026-09-18T09:09:33.051366975Z [2026-09-18 09:09:33 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.03, swa token usage: 0.12, #running-req: 10, #queue-req: 7, #pending-token: 249856, cuda graph: False, input throughput (token/s): 2400.31
2026-09-18T09:09:34.773173167Z [2026-09-18 09:09:34 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.03, swa token usage: 0.12, #running-req: 10, #queue-req: 7, #pending-token: 245760, cuda graph: False, input throughput (token/s): 2378.63
2026-09-18T09:09:36.522614984Z [2026-09-18 09:09:36 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.03, swa token usage: 0.12, #running-req: 10, #queue-req: 7, #pending-token: 241664, cuda graph: False, input throughput (token/s): 2341.49
2026-09-18T09:09:38.367867342Z [2026-09-18 09:09:38 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.03, swa token usage: 0.12, #running-req: 10, #queue-req: 7, #pending-token: 237568, cuda graph: False, input throughput (token/s): 2219.23
2026-09-18T09:09:40.379086221Z [2026-09-18 09:09:40 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.03, swa token usage: 0.12, #running-req: 10, #queue-req: 7, #pending-token: 233472, cuda graph: False, input throughput (token/s): 2036.48
2026-09-18T09:09:42.765773090Z [2026-09-18 09:09:42 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.03, swa token usage: 0.12, #running-req: 10, #queue-req: 6, #pending-token: 229376, cuda graph: False, input throughput (token/s): 1716.21
2026-09-18T09:09:45.044592933Z [2026-09-18 09:09:45 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.03, swa token usage: 0.13, #running-req: 11, #queue-req: 6, #pending-token: 225280, cuda graph: False, input throughput (token/s): 1797.70
2026-09-18T09:09:46.859804731Z [2026-09-18 09:09:46 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.03, swa token usage: 0.13, #running-req: 11, #queue-req: 6, #pending-token: 221184, cuda graph: False, input throughput (token/s): 2256.71
2026-09-18T09:09:48.036597337Z [2026-09-18 09:09:48 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.03, swa token usage: 0.13, #running-req: 11, #queue-req: 6, #pending-token: 217088, cuda graph: False, input throughput (token/s): 3478.63
2026-09-18T09:09:49.775445102Z [2026-09-18 09:09:49 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.03, swa token usage: 0.13, #running-req: 11, #queue-req: 6, #pending-token: 212992, cuda graph: False, input throughput (token/s): 2356.30
2026-09-18T09:09:51.822510821Z [2026-09-18 09:09:51 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.03, swa token usage: 0.13, #running-req: 11, #queue-req: 6, #pending-token: 208896, cuda graph: False, input throughput (token/s): 2001.14
2026-09-18T09:09:54.175083214Z [2026-09-18 09:09:54 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.03, swa token usage: 0.13, #running-req: 11, #queue-req: 6, #pending-token: 204800, cuda graph: False, input throughput (token/s): 1741.12
2026-09-18T09:09:56.779549037Z [2026-09-18 09:09:56 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.03, swa token usage: 0.13, #running-req: 11, #queue-req: 6, #pending-token: 200704, cuda graph: False, input throughput (token/s): 1572.41
2026-09-18T09:09:59.130005809Z [2026-09-18 09:09:59 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.03, swa token usage: 0.13, #running-req: 11, #queue-req: 5, #pending-token: 196608, cuda graph: False, input throughput (token/s): 1742.61
2026-09-18T09:10:01.536943915Z [2026-09-18 09:10:01 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.03, swa token usage: 0.13, #running-req: 12, #queue-req: 5, #pending-token: 192512, cuda graph: False, input throughput (token/s): 1701.59
2026-09-18T09:10:03.252881724Z [2026-09-18 09:10:03 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.04, swa token usage: 0.13, #running-req: 12, #queue-req: 5, #pending-token: 188416, cuda graph: False, input throughput (token/s): 2387.95
2026-09-18T09:10:05.128445219Z [2026-09-18 09:10:05 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.04, swa token usage: 0.13, #running-req: 12, #queue-req: 5, #pending-token: 184320, cuda graph: False, input throughput (token/s): 2184.21
2026-09-18T09:10:07.492247726Z [2026-09-18 09:10:07 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.04, swa token usage: 0.13, #running-req: 12, #queue-req: 5, #pending-token: 180224, cuda graph: False, input throughput (token/s): 1732.36
2026-09-18T09:10:09.412171732Z [2026-09-18 09:10:09 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.04, swa token usage: 0.13, #running-req: 12, #queue-req: 5, #pending-token: 176128, cuda graph: False, input throughput (token/s): 2134.04
2026-09-18T09:10:11.786958307Z [2026-09-18 09:10:11 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.04, swa token usage: 0.13, #running-req: 12, #queue-req: 5, #pending-token: 172032, cuda graph: False, input throughput (token/s): 1724.48
2026-09-18T09:10:13.973004920Z [2026-09-18 09:10:13 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.04, swa token usage: 0.13, #running-req: 12, #queue-req: 5, #pending-token: 167936, cuda graph: False, input throughput (token/s): 1873.22
2026-09-18T09:10:16.306427321Z [2026-09-18 09:10:16 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.04, swa token usage: 0.13, #running-req: 12, #queue-req: 4, #pending-token: 163840, cuda graph: False, input throughput (token/s): 1755.88
2026-09-18T09:10:18.233163699Z [2026-09-18 09:10:18 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.04, swa token usage: 0.14, #running-req: 13, #queue-req: 4, #pending-token: 159744, cuda graph: False, input throughput (token/s): 2125.42
2026-09-18T09:10:20.351520186Z [2026-09-18 09:10:20 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.04, swa token usage: 0.14, #running-req: 13, #queue-req: 4, #pending-token: 155648, cuda graph: False, input throughput (token/s): 1934.42
2026-09-18T09:10:22.240349900Z [2026-09-18 09:10:22 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.04, swa token usage: 0.14, #running-req: 13, #queue-req: 4, #pending-token: 151552, cuda graph: False, input throughput (token/s): 2167.74
2026-09-18T09:10:24.596011017Z [2026-09-18 09:10:24 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.04, swa token usage: 0.14, #running-req: 13, #queue-req: 4, #pending-token: 147456, cuda graph: False, input throughput (token/s): 1739.29
2026-09-18T09:10:26.551470543Z [2026-09-18 09:10:26 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.04, swa token usage: 0.14, #running-req: 13, #queue-req: 4, #pending-token: 143360, cuda graph: False, input throughput (token/s): 2094.19
2026-09-18T09:10:28.703779893Z [2026-09-18 09:10:28 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.04, swa token usage: 0.14, #running-req: 13, #queue-req: 4, #pending-token: 139264, cuda graph: False, input throughput (token/s): 1903.17
2026-09-18T09:10:30.834546059Z [2026-09-18 09:10:30 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.04, swa token usage: 0.14, #running-req: 13, #queue-req: 4, #pending-token: 135168, cuda graph: False, input throughput (token/s): 1922.13
2026-09-18T09:10:33.279213480Z [2026-09-18 09:10:33 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.04, swa token usage: 0.14, #running-req: 13, #queue-req: 3, #pending-token: 131072, cuda graph: False, input throughput (token/s): 1675.05
2026-09-18T09:10:35.618906380Z [2026-09-18 09:10:35 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.04, swa token usage: 0.14, #running-req: 14, #queue-req: 3, #pending-token: 126976, cuda graph: False, input throughput (token/s): 1750.71
2026-09-18T09:10:37.405036474Z [2026-09-18 09:10:37 TP0 EP0] Prefill batch, #new-seq: 1, #new-token: 4096, #cached-token: 0, full token usage: 0.04, swa token usage: 0.14, #running-req: 14, #queue-req: 3, #pending-token: 122880, cuda graph: False, input throughput (token/s): 2293.86
